,greatersydney,rings,lga,dwellingtype,bedrooms,wrent_median,new_bonds_no,total_bonds_held,date
670316,Greater Sydney,Middle Ring,Cumberland,House,2 Bedrooms,480.0,140,"1,412",2023-03-31
670317,Greater Sydney,Middle Ring,Cumberland,House,3 Bedrooms,585.0,245,"3,846",2023-03-31
670318,Greater Sydney,Middle Ring,Cumberland,House,4 or more Bedrooms,750.0,148,"2,077",2023-03-31
670319,Greater Sydney,Middle Ring,Cumberland,Other,Total,460.0,124,"2,801",2023-03-31
670320,Greater Sydney,Middle Ring,Cumberland,Other,Bedsitter,,,75,2023-03-31
670321,Greater Sydney,Middle Ring,Cumberland,Other,1 Bedroom,320.0,s,294,2023-03-31
670322,Greater Sydney,Middle Ring,Cumberland,Other,Not Specified,460.0,s,628,2023-03-31
670323,Greater Sydney,Middle Ring,Cumberland,Other,2 Bedrooms,455.0,46,999,2023-03-31
670324,Greater Sydney,Middle Ring,Cumberland,Other,3 Bedrooms,600.0,s,562,2023-03-31
670325,Greater Sydney,Middle Ring,Cumberland,Other,4 or more Bedrooms,,,243,2023-03-31
670326,Greater Sydney,Middle Ring,Cumberland,Townhouse,Total,580.0,135,"2,549",2023-03-31
670327,Greater Sydney,Middle Ring,Cumberland,Townhouse,Bedsitter,,,,2023-03-31
670328,Greater Sydney,Middle Ring,Cumberland,Townhouse,1 Bedroom,,,46,2023-03-31
670329,Greater Sydney,Middle Ring,Cumberland,Townhouse,Not Specified,530.0,s,96,2023-03-31
670330,Greater Sydney,Middle Ring,Cumberland,Townhouse,2 Bedrooms,500.0,47,680,2023-03-31
670331,Greater Sydney,Middle Ring,Cumberland,Townhouse,3 Bedrooms,620.0,52,"1,181",2023-03-31
670332,Greater Sydney,Middle Ring,Cumberland,Townhouse,4 or more Bedrooms,780.0,s,542,2023-03-31
670333,Greater Sydney,Middle Ring,Cumberland,Flat/Unit,Total,490.0,"1,053","13,843",2023-03-31
670334,Greater Sydney,Middle Ring,Cumberland,Flat/Unit,Bedsitter,,,48,2023-03-31
670335,Greater Sydney,Middle Ring,Cumberland,Flat/Unit,1 Bedroom,420.0,183,"1,688",2023-03-31
670336,Greater Sydney,Middle Ring,Cumberland,Flat/Unit,Not Specified,460.0,57,404,2023-03-31
670337,Greater Sydney,Middle Ring,Cumberland,Flat/Unit,2 Bedrooms,500.0,710,"10,205",2023-03-31
670338,Greater Sydney,Middle Ring,Cumberland,Flat/Unit,3 Bedrooms,620.0,96,"1,415",2023-03-31
670339,Greater Sydney,Middle Ring,Cumberland,Flat/Unit,4 or more Bedrooms,,,83,2023-03-31
670347,Greater Sydney,Middle Ring,Georges River,House,Total,650.0,501,"4,246",2023-03-31
670348,Greater Sydney,Middle Ring,Georges River,House,Bedsitter,,,,2023-03-31
670349,Greater Sydney,Middle Ring,Georges River,House,1 Bedroom,390.0,s,82,2023-03-31
670350,Greater Sydney,Middle Ring,Georges River,House,Not Specified,590.0,256,822,2023-03-31
670351,Greater Sydney,Middle Ring,Georges River,House,2 Bedrooms,555.0,52,659,2023-03-31
670352,Greater Sydney,Middle Ring,Georges River,House,3 Bedrooms,700.0,102,"1,669",2023-03-31
670353,Greater Sydney,Middle Ring,Georges River,House,4 or more Bedrooms,950.0,71,"1,005",2023-03-31
670354,Greater Sydney,Middle Ring,Georges River,Other,Total,585.0,s,"1,116",2023-03-31
670355,Greater Sydney,Middle Ring,Georges River,Other,Bedsitter,,,46,2023-03-31
670356,Greater Sydney,Middle Ring,Georges River,Other,1 Bedroom,,,122,2023-03-31
670357,Greater Sydney,Middle Ring,Georges River,Other,Not Specified,,,363,2023-03-31
670358,Greater Sydney,Middle Ring,Georges River,Other,2 Bedrooms,,,357,2023-03-31
670359,Greater Sydney,Middle Ring,Georges River,Other,3 Bedrooms,,,176,2023-03-31
670360,Greater Sydney,Middle Ring,Georges River,Other,4 or more Bedrooms,,,52,2023-03-31
670361,Greater Sydney,Middle Ring,Georges River,Townhouse,Total,730.0,48,906,2023-03-31
670362,Greater Sydney,Middle Ring,Georges River,Townhouse,1 Bedroom,,,s,2023-03-31
670363,Greater Sydney,Middle Ring,Georges River,Townhouse,Not Specified,,,s,2023-03-31
670364,Greater Sydney,Middle Ring,Georges River,Townhouse,2 Bedrooms,620.0,s,238,2023-03-31
670365,Greater Sydney,Middle Ring,Georges River,Townhouse,3 Bedrooms,750.0,s,465,2023-03-31
670366,Greater Sydney,Middle Ring,Georges River,Townhouse,4 or more Bedrooms,,,154,2023-03-31
670367,Greater Sydney,Middle Ring,Georges River,Flat/Unit,Total,550.0,718,"10,290",2023-03-31
670368,Greater Sydney,Middle Ring,Georges River,Flat/Unit,Bedsitter,,,48,2023-03-31
670369,Greater Sydney,Middle Ring,Georges River,Flat/Unit,1 Bedroom,500.0,128,"1,497",2023-03-31
670370,Greater Sydney,Middle Ring,Georges River,Flat/Unit,Not Specified,540.0,s,223,2023-03-31
670371,Greater Sydney,Middle Ring,Georges River,Flat/Unit,2 Bedrooms,530.0,457,"6,913",2023-03-31
670372,Greater Sydney,Middle Ring,Georges River,Flat/Unit,3 Bedrooms,698.0,96,"1,531",2023-03-31
670373,Greater Sydney,Middle Ring,Georges River,Flat/Unit,4 or more Bedrooms,,,78,2023-03-31
670381,Greater Sydney,Middle Ring,Hunters Hill,House,Total,950.0,39,325,2023-03-31
670382,Greater Sydney,Middle Ring,Hunters Hill,House,Bedsitter,,,,2023-03-31
670383,Greater Sydney,Middle Ring,Hunters Hill,House,1 Bedroom,,,,2023-03-31
670384,Greater Sydney,Middle Ring,Hunters Hill,House,Not Specified,850.0,s,75,2023-03-31
670385,Greater Sydney,Middle Ring,Hunters Hill,House,2 Bedrooms,,,33,2023-03-31
670386,Greater Sydney,Middle Ring,Hunters Hill,House,3 Bedrooms,,,109,2023-03-31
670387,Greater Sydney,Middle Ring,Hunters Hill,House,4 or more Bedrooms,,,103,2023-03-31
670388,Greater Sydney,Middle Ring,Hunters Hill,Other,Total,,,44,2023-03-31
670389,Greater Sydney,Middle Ring,Hunters Hill,Other,1 Bedroom,,,,2023-03-31
670390,Greater Sydney,Middle Ring,Hunters Hill,Other,Not Specified,,,s,2023-03-31
670391,Greater Sydney,Middle Ring,Hunters Hill,Other,2 Bedrooms,,,s,2023-03-31
670392,Greater Sydney,Middle Ring,Hunters Hill,Other,3 Bedrooms,,,,2023-03-31
670393,Greater Sydney,Middle Ring,Hunters Hill,Other,4 or more Bedrooms,,,,2023-03-31
670394,Greater Sydney,Middle Ring,Hunters Hill,Townhouse,Total,,,79,2023-03-31
670395,Greater Sydney,Middle Ring,Hunters Hill,Townhouse,1 Bedroom,,,,2023-03-31
670396,Greater Sydney,Middle Ring,Hunters Hill,Townhouse,Not Specified,,,,2023-03-31
670397,Greater Sydney,Middle Ring,Hunters Hill,Townhouse,2 Bedrooms,,,s,2023-03-31
670398,Greater Sydney,Middle Ring,Hunters Hill,Townhouse,3 Bedrooms,,,42,2023-03-31
670399,Greater Sydney,Middle Ring,Hunters Hill,Townhouse,4 or more Bedrooms,,,s,2023-03-31
670400,Greater Sydney,Middle Ring,Hunters Hill,Flat/Unit,Total,525.0,31,512,2023-03-31
670401,Greater Sydney,Middle Ring,Hunters Hill,Flat/Unit,Bedsitter,,,s,2023-03-31
670402,Greater Sydney,Middle Ring,Hunters Hill,Flat/Unit,1 Bedroom,,,134,2023-03-31
670403,Greater Sydney,Middle Ring,Hunters Hill,Flat/Unit,Not Specified,,,s,2023-03-31
670404,Greater Sydney,Middle Ring,Hunters Hill,Flat/Unit,2 Bedrooms,550.0,s,271,2023-03-31
670405,Greater Sydney,Middle Ring,Hunters Hill,Flat/Unit,3 Bedrooms,,,69,2023-03-31
670406,Greater Sydney,Middle Ring,Hunters Hill,Flat/Unit,4 or more Bedrooms,,,,2023-03-31
670414,Greater Sydney,Middle Ring,Ku-Ring-Gai,House,Total,1070.0,498,"3,219",2023-03-31
670415,Greater Sydney,Middle Ring,Ku-Ring-Gai,House,Bedsitter,,,,2023-03-31
670416,Greater Sydney,Middle Ring,Ku-Ring-Gai,House,1 Bedroom,,,43,2023-03-31
670417,Greater Sydney,Middle Ring,Ku-Ring-Gai,House,Not Specified,890.0,225,581,2023-03-31
670418,Greater Sydney,Middle Ring,Ku-Ring-Gai,House,2 Bedrooms,650.0,s,160,2023-03-31
670419,Greater Sydney,Middle Ring,Ku-Ring-Gai,House,3 Bedrooms,975.0,57,683,2023-03-31
670420,Greater Sydney,Middle Ring,Ku-Ring-Gai,House,4 or more Bedrooms,1350.0,187,"1,747",2023-03-31
670421,Greater Sydney,Middle Ring,Ku-Ring-Gai,Other,Total,680.0,s,289,2023-03-31
670422,Greater Sydney,Middle Ring,Ku-Ring-Gai,Other,Bedsitter,,,s,2023-03-31
670423,Greater Sydney,Middle Ring,Ku-Ring-Gai,Other,1 Bedroom,,,46,2023-03-31
670424,Greater Sydney,Middle Ring,Ku-Ring-Gai,Other,Not Specified,,,71,2023-03-31
670425,Greater Sydney,Middle Ring,Ku-Ring-Gai,Other,2 Bedrooms,,,65,2023-03-31
670426,Greater Sydney,Middle Ring,Ku-Ring-Gai,Other,3 Bedrooms,,,52,2023-03-31
670427,Greater Sydney,Middle Ring,Ku-Ring-Gai,Other,4 or more Bedrooms,,,44,2023-03-31
670428,Greater Sydney,Middle Ring,Ku-Ring-Gai,Townhouse,Total,910.0,s,240,2023-03-31
670429,Greater Sydney,Middle Ring,Ku-Ring-Gai,Townhouse,1 Bedroom,,,,2023-03-31
670430,Greater Sydney,Middle Ring,Ku-Ring-Gai,Townhouse,Not Specified,,,,2023-03-31
670431,Greater Sydney,Middle Ring,Ku-Ring-Gai,Townhouse,2 Bedrooms,,,s,2023-03-31
670432,Greater Sydney,Middle Ring,Ku-Ring-Gai,Townhouse,3 Bedrooms,935.0,s,160,2023-03-31
670433,Greater Sydney,Middle Ring,Ku-Ring-Gai,Townhouse,4 or more Bedrooms,,,42,2023-03-31
670434,Greater Sydney,Middle Ring,Ku-Ring-Gai,Flat/Unit,Total,680.0,440,"4,718",2023-03-31
670435,Greater Sydney,Middle Ring,Ku-Ring-Gai,Flat/Unit,Bedsitter,,,s,2023-03-31
670436,Greater Sydney,Middle Ring,Ku-Ring-Gai,Flat/Unit,1 Bedroom,530.0,115,"1,124",2023-03-31
670437,Greater Sydney,Middle Ring,Ku-Ring-Gai,Flat/Unit,Not Specified,685.0,s,109,2023-03-31
670438,Greater Sydney,Middle Ring,Ku-Ring-Gai,Flat/Unit,2 Bedrooms,685.0,224,"2,577",2023-03-31
670439,Greater Sydney,Middle Ring,Ku-Ring-Gai,Flat/Unit,3 Bedrooms,980.0,71,858,2023-03-31
670440,Greater Sydney,Middle Ring,Ku-Ring-Gai,Flat/Unit,4 or more Bedrooms,,,s,2023-03-31
670448,Greater Sydney,Middle Ring,Parramatta,House,Total,600.0,"1,360","8,688",2023-03-31
670449,Greater Sydney,Middle Ring,Parramatta,House,Bedsitter,,,s,2023-03-31
670450,Greater Sydney,Middle Ring,Parramatta,House,1 Bedroom,385.0,53,247,2023-03-31
670451,Greater Sydney,Middle Ring,Parramatta,House,Not Specified,600.0,809,"2,332",2023-03-31
670452,Greater Sydney,Middle Ring,Parramatta,House,2 Bedrooms,500.0,154,"1,269",2023-03-31
670453,Greater Sydney,Middle Ring,Parramatta,House,3 Bedrooms,630.0,171,"2,803",2023-03-31
670454,Greater Sydney,Middle Ring,Parramatta,House,4 or more Bedrooms,850.0,171,"2,008",2023-03-31
670455,Greater Sydney,Middle Ring,Parramatta,Other,Total,470.0,73,"2,061",2023-03-31
670456,Greater Sydney,Middle Ring,Parramatta,Other,Bedsitter,330.0,s,99,2023-03-31
670457,Greater Sydney,Middle Ring,Parramatta,Other,1 Bedroom,360.0,s,245,2023-03-31
670458,Greater Sydney,Middle Ring,Parramatta,Other,Not Specified,535.0,s,605,2023-03-31
670459,Greater Sydney,Middle Ring,Parramatta,Other,2 Bedrooms,510.0,s,705,2023-03-31
670460,Greater Sydney,Middle Ring,Parramatta,Other,3 Bedrooms,,,307,2023-03-31
670461,Greater Sydney,Middle Ring,Parramatta,Other,4 or more Bedrooms,,,100,2023-03-31
670462,Greater Sydney,Middle Ring,Parramatta,Townhouse,Total,670.0,168,"2,608",2023-03-31
670463,Greater Sydney,Middle Ring,Parramatta,Townhouse,Bedsitter,,,,2023-03-31
670464,Greater Sydney,Middle Ring,Parramatta,Townhouse,1 Bedroom,,,36,2023-03-31
670465,Greater Sydney,Middle Ring,Parramatta,Townhouse,Not Specified,530.0,s,72,2023-03-31
670466,Greater Sydney,Middle Ring,Parramatta,Townhouse,2 Bedrooms,550.0,s,559,2023-03-31
670467,Greater Sydney,Middle Ring,Parramatta,Townhouse,3 Bedrooms,673.0,86,"1,459",2023-03-31
670468,Greater Sydney,Middle Ring,Parramatta,Townhouse,4 or more Bedrooms,850.0,35,479,2023-03-31
670469,Greater Sydney,Middle Ring,Parramatta,Flat/Unit,Total,575.0,"2,633","27,670",2023-03-31
670470,Greater Sydney,Middle Ring,Parramatta,Flat/Unit,Bedsitter,380.0,s,133,2023-03-31
670471,Greater Sydney,Middle Ring,Parramatta,Flat/Unit,1 Bedroom,550.0,687,"5,938",2023-03-31
670472,Greater Sydney,Middle Ring,Parramatta,Flat/Unit,Not Specified,520.0,194,853,2023-03-31
670473,Greater Sydney,Middle Ring,Parramatta,Flat/Unit,2 Bedrooms,590.0,"1,486","17,952",2023-03-31
670474,Greater Sydney,Middle Ring,Parramatta,Flat/Unit,3 Bedrooms,710.0,231,"2,675",2023-03-31
670475,Greater Sydney,Middle Ring,Parramatta,Flat/Unit,4 or more Bedrooms,810.0,s,119,2023-03-31
670483,Greater Sydney,Middle Ring,Ryde,House,Total,690.0,650,"4,004",2023-03-31
670484,Greater Sydney,Middle Ring,Ryde,House,Bedsitter,,,s,2023-03-31
670485,Greater Sydney,Middle Ring,Ryde,House,1 Bedroom,490.0,s,148,2023-03-31
670486,Greater Sydney,Middle Ring,Ryde,House,Not Specified,650.0,383,"1,147",2023-03-31
670487,Greater Sydney,Middle Ring,Ryde,House,2 Bedrooms,600.0,47,507,2023-03-31
670488,Greater Sydney,Middle Ring,Ryde,House,3 Bedrooms,750.0,85,"1,202",2023-03-31
670489,Greater Sydney,Middle Ring,Ryde,House,4 or more Bedrooms,1000.0,108,989,2023-03-31
670490,Greater Sydney,Middle Ring,Ryde,Other,Total,637.0,40,854,2023-03-31
670491,Greater Sydney,Middle Ring,Ryde,Other,Bedsitter,,,s,2023-03-31
670492,Greater Sydney,Middle Ring,Ryde,Other,1 Bedroom,,,140,2023-03-31
670493,Greater Sydney,Middle Ring,Ryde,Other,Not Specified,,,147,2023-03-31
670494,Greater Sydney,Middle Ring,Ryde,Other,2 Bedrooms,560.0,s,289,2023-03-31
670495,Greater Sydney,Middle Ring,Ryde,Other,3 Bedrooms,760.0,s,209,2023-03-31
670496,Greater Sydney,Middle Ring,Ryde,Other,4 or more Bedrooms,,,56,2023-03-31
670497,Greater Sydney,Middle Ring,Ryde,Townhouse,Total,698.0,120,"1,546",2023-03-31
670498,Greater Sydney,Middle Ring,Ryde,Townhouse,Bedsitter,,,,2023-03-31
670499,Greater Sydney,Middle Ring,Ryde,Townhouse,1 Bedroom,,,s,2023-03-31
670500,Greater Sydney,Middle Ring,Ryde,Townhouse,Not Specified,,,42,2023-03-31
670501,Greater Sydney,Middle Ring,Ryde,Townhouse,2 Bedrooms,580.0,49,605,2023-03-31
670502,Greater Sydney,Middle Ring,Ryde,Townhouse,3 Bedrooms,750.0,43,669,2023-03-31
670503,Greater Sydney,Middle Ring,Ryde,Townhouse,4 or more Bedrooms,1100.0,s,199,2023-03-31
670504,Greater Sydney,Middle Ring,Ryde,Flat/Unit,Total,590.0,"1,121","13,164",2023-03-31
670505,Greater Sydney,Middle Ring,Ryde,Flat/Unit,Bedsitter,400.0,s,78,2023-03-31
670506,Greater Sydney,Middle Ring,Ryde,Flat/Unit,1 Bedroom,550.0,405,"4,467",2023-03-31
670507,Greater Sydney,Middle Ring,Ryde,Flat/Unit,Not Specified,483.0,76,346,2023-03-31
670508,Greater Sydney,Middle Ring,Ryde,Flat/Unit,2 Bedrooms,650.0,556,"7,437",2023-03-31
670509,Greater Sydney,Middle Ring,Ryde,Flat/Unit,3 Bedrooms,863.0,70,794,2023-03-31
670510,Greater Sydney,Middle Ring,Ryde,Flat/Unit,4 or more Bedrooms,,,42,2023-03-31
670518,Greater Sydney,Middle Ring,Strathfield,House,Total,650.0,167,"1,049",2023-03-31
670519,Greater Sydney,Middle Ring,Strathfield,House,Bedsitter,,,,2023-03-31
670520,Greater Sydney,Middle Ring,Strathfield,House,1 Bedroom,,,s,2023-03-31
670521,Greater Sydney,Middle Ring,Strathfield,House,Not Specified,605.0,104,306,2023-03-31
670522,Greater Sydney,Middle Ring,Strathfield,House,2 Bedrooms,648.0,s,138,2023-03-31
670523,Greater Sydney,Middle Ring,Strathfield,House,3 Bedrooms,750.0,s,297,2023-03-31
670524,Greater Sydney,Middle Ring,Strathfield,House,4 or more Bedrooms,1100.0,s,275,2023-03-31
670525,Greater Sydney,Middle Ring,Strathfield,Other,Total,550.0,s,701,2023-03-31
670526,Greater Sydney,Middle Ring,Strathfield,Other,Bedsitter,,,,2023-03-31
670527,Greater Sydney,Middle Ring,Strathfield,Other,1 Bedroom,,,83,2023-03-31
670528,Greater Sydney,Middle Ring,Strathfield,Other,Not Specified,,,161,2023-03-31
670529,Greater Sydney,Middle Ring,Strathfield,Other,2 Bedrooms,600.0,s,356,2023-03-31
670530,Greater Sydney,Middle Ring,Strathfield,Other,3 Bedrooms,,,69,2023-03-31
670531,Greater Sydney,Middle Ring,Strathfield,Other,4 or more Bedrooms,,,s,2023-03-31
670532,Greater Sydney,Middle Ring,Strathfield,Townhouse,Total,800.0,s,217,2023-03-31
670533,Greater Sydney,Middle Ring,Strathfield,Townhouse,1 Bedroom,,,,2023-03-31
670534,Greater Sydney,Middle Ring,Strathfield,Townhouse,Not Specified,,,,2023-03-31
670535,Greater Sydney,Middle Ring,Strathfield,Townhouse,2 Bedrooms,,,47,2023-03-31
670536,Greater Sydney,Middle Ring,Strathfield,Townhouse,3 Bedrooms,800.0,s,112,2023-03-31
670537,Greater Sydney,Middle Ring,Strathfield,Townhouse,4 or more Bedrooms,,,42,2023-03-31
670538,Greater Sydney,Middle Ring,Strathfield,Flat/Unit,Total,593.0,460,"5,228",2023-03-31
670539,Greater Sydney,Middle Ring,Strathfield,Flat/Unit,Bedsitter,,,39,2023-03-31
670540,Greater Sydney,Middle Ring,Strathfield,Flat/Unit,1 Bedroom,520.0,90,848,2023-03-31
670541,Greater Sydney,Middle Ring,Strathfield,Flat/Unit,Not Specified,570.0,38,152,2023-03-31
670542,Greater Sydney,Middle Ring,Strathfield,Flat/Unit,2 Bedrooms,600.0,275,"3,521",2023-03-31
670543,Greater Sydney,Middle Ring,Strathfield,Flat/Unit,3 Bedrooms,750.0,48,636,2023-03-31
670544,Greater Sydney,Middle Ring,Strathfield,Flat/Unit,4 or more Bedrooms,,,32,2023-03-31
670552,Greater Sydney,Middle Ring,Willoughby,House,Total,888.0,360,"2,268",2023-03-31
670553,Greater Sydney,Middle Ring,Willoughby,House,Bedsitter,,,36,2023-03-31
670554,Greater Sydney,Middle Ring,Willoughby,House,1 Bedroom,565.0,s,61,2023-03-31
670555,Greater Sydney,Middle Ring,Willoughby,House,Not Specified,780.0,224,609,2023-03-31
670556,Greater Sydney,Middle Ring,Willoughby,House,2 Bedrooms,840.0,s,264,2023-03-31
670557,Greater Sydney,Middle Ring,Willoughby,House,3 Bedrooms,1005.0,48,624,2023-03-31
670558,Greater Sydney,Middle Ring,Willoughby,House,4 or more Bedrooms,1550.0,49,674,2023-03-31
670559,Greater Sydney,Middle Ring,Willoughby,Other,Total,720.0,s,345,2023-03-31
670560,Greater Sydney,Middle Ring,Willoughby,Other,Bedsitter,,,s,2023-03-31
670561,Greater Sydney,Middle Ring,Willoughby,Other,1 Bedroom,,,65,2023-03-31
670562,Greater Sydney,Middle Ring,Willoughby,Other,Not Specified,,,94,2023-03-31
670563,Greater Sydney,Middle Ring,Willoughby,Other,2 Bedrooms,,,121,2023-03-31
670564,Greater Sydney,Middle Ring,Willoughby,Other,3 Bedrooms,,,36,2023-03-31
670565,Greater Sydney,Middle Ring,Willoughby,Other,4 or more Bedrooms,,,,2023-03-31
670566,Greater Sydney,Middle Ring,Willoughby,Townhouse,Total,1040.0,s,418,2023-03-31
670567,Greater Sydney,Middle Ring,Willoughby,Townhouse,Bedsitter,,,,2023-03-31
670568,Greater Sydney,Middle Ring,Willoughby,Townhouse,1 Bedroom,,,s,2023-03-31
670569,Greater Sydney,Middle Ring,Willoughby,Townhouse,Not Specified,,,s,2023-03-31
670570,Greater Sydney,Middle Ring,Willoughby,Townhouse,2 Bedrooms,,,169,2023-03-31
670571,Greater Sydney,Middle Ring,Willoughby,Townhouse,3 Bedrooms,1173.0,s,177,2023-03-31
670572,Greater Sydney,Middle Ring,Willoughby,Townhouse,4 or more Bedrooms,,,34,2023-03-31
670573,Greater Sydney,Middle Ring,Willoughby,Flat/Unit,Total,650.0,756,"7,696",2023-03-31
670574,Greater Sydney,Middle Ring,Willoughby,Flat/Unit,Bedsitter,525.0,s,168,2023-03-31
670575,Greater Sydney,Middle Ring,Willoughby,Flat/Unit,1 Bedroom,550.0,370,"2,626",2023-03-31
670576,Greater Sydney,Middle Ring,Willoughby,Flat/Unit,Not Specified,663.0,36,221,2023-03-31
670577,Greater Sydney,Middle Ring,Willoughby,Flat/Unit,2 Bedrooms,700.0,272,"3,820",2023-03-31
670578,Greater Sydney,Middle Ring,Willoughby,Flat/Unit,3 Bedrooms,1150.0,60,826,2023-03-31
670579,Greater Sydney,Middle Ring,Willoughby,Flat/Unit,4 or more Bedrooms,,,35,2023-03-31
670622,Greater Sydney,Outer Ring,Blacktown,House,Total,550.0,"2,526","24,644",2023-03-31
670623,Greater Sydney,Outer Ring,Blacktown,House,Bedsitter,,,s,2023-03-31
670624,Greater Sydney,Outer Ring,Blacktown,House,1 Bedroom,350.0,43,288,2023-03-31
670625,Greater Sydney,Outer Ring,Blacktown,House,Not Specified,530.0,"1,051","3,323",2023-03-31
670626,Greater Sydney,Outer Ring,Blacktown,House,2 Bedrooms,430.0,227,"2,218",2023-03-31
670627,Greater Sydney,Outer Ring,Blacktown,House,3 Bedrooms,520.0,596,"10,089",2023-03-31
670628,Greater Sydney,Outer Ring,Blacktown,House,4 or more Bedrooms,700.0,607,"8,696",2023-03-31
670629,Greater Sydney,Outer Ring,Blacktown,Other,Total,420.0,125,"2,755",2023-03-31
670630,Greater Sydney,Outer Ring,Blacktown,Other,Bedsitter,,,s,2023-03-31
670631,Greater Sydney,Outer Ring,Blacktown,Other,1 Bedroom,325.0,s,308,2023-03-31
670632,Greater Sydney,Outer Ring,Blacktown,Other,Not Specified,420.0,47,982,2023-03-31
670633,Greater Sydney,Outer Ring,Blacktown,Other,2 Bedrooms,420.0,38,650,2023-03-31
670634,Greater Sydney,Outer Ring,Blacktown,Other,3 Bedrooms,510.0,s,594,2023-03-31
670635,Greater Sydney,Outer Ring,Blacktown,Other,4 or more Bedrooms,,,197,2023-03-31
670636,Greater Sydney,Outer Ring,Blacktown,Townhouse,Total,500.0,164,"2,966",2023-03-31
670637,Greater Sydney,Outer Ring,Blacktown,Townhouse,Bedsitter,,,,2023-03-31
670638,Greater Sydney,Outer Ring,Blacktown,Townhouse,1 Bedroom,,,55,2023-03-31
670639,Greater Sydney,Outer Ring,Blacktown,Townhouse,Not Specified,540.0,s,106,2023-03-31
670640,Greater Sydney,Outer Ring,Blacktown,Townhouse,2 Bedrooms,450.0,39,518,2023-03-31
670641,Greater Sydney,Outer Ring,Blacktown,Townhouse,3 Bedrooms,535.0,72,"1,644",2023-03-31
670642,Greater Sydney,Outer Ring,Blacktown,Townhouse,4 or more Bedrooms,650.0,31,641,2023-03-31
670643,Greater Sydney,Outer Ring,Blacktown,Flat/Unit,Total,480.0,561,"6,144",2023-03-31
670644,Greater Sydney,Outer Ring,Blacktown,Flat/Unit,Bedsitter,,,32,2023-03-31
670645,Greater Sydney,Outer Ring,Blacktown,Flat/Unit,1 Bedroom,430.0,74,908,2023-03-31
670646,Greater Sydney,Outer Ring,Blacktown,Flat/Unit,Not Specified,400.0,33,181,2023-03-31
670647,Greater Sydney,Outer Ring,Blacktown,Flat/Unit,2 Bedrooms,500.0,390,"4,391",2023-03-31
670648,Greater Sydney,Outer Ring,Blacktown,Flat/Unit,3 Bedrooms,600.0,55,581,2023-03-31
670649,Greater Sydney,Outer Ring,Blacktown,Flat/Unit,4 or more Bedrooms,,,51,2023-03-31
670657,Greater Sydney,Outer Ring,Blue Mountains,House,Total,550.0,346,"3,512",2023-03-31
670658,Greater Sydney,Outer Ring,Blue Mountains,House,Bedsitter,,,,2023-03-31
670659,Greater Sydney,Outer Ring,Blue Mountains,House,1 Bedroom,,,105,2023-03-31
670660,Greater Sydney,Outer Ring,Blue Mountains,House,Not Specified,520.0,141,406,2023-03-31
670661,Greater Sydney,Outer Ring,Blue Mountains,House,2 Bedrooms,450.0,43,553,2023-03-31
670662,Greater Sydney,Outer Ring,Blue Mountains,House,3 Bedrooms,550.0,103,"1,709",2023-03-31
670663,Greater Sydney,Outer Ring,Blue Mountains,House,4 or more Bedrooms,680.0,50,738,2023-03-31
670664,Greater Sydney,Outer Ring,Blue Mountains,Other,Total,,,198,2023-03-31
670665,Greater Sydney,Outer Ring,Blue Mountains,Other,Bedsitter,,,,2023-03-31
670666,Greater Sydney,Outer Ring,Blue Mountains,Other,1 Bedroom,,,s,2023-03-31
670667,Greater Sydney,Outer Ring,Blue Mountains,Other,Not Specified,,,52,2023-03-31
670668,Greater Sydney,Outer Ring,Blue Mountains,Other,2 Bedrooms,,,46,2023-03-31
670669,Greater Sydney,Outer Ring,Blue Mountains,Other,3 Bedrooms,,,58,2023-03-31
670670,Greater Sydney,Outer Ring,Blue Mountains,Other,4 or more Bedrooms,,,s,2023-03-31
670671,Greater Sydney,Outer Ring,Blue Mountains,Townhouse,Total,,,254,2023-03-31
670672,Greater Sydney,Outer Ring,Blue Mountains,Townhouse,Bedsitter,,,,2023-03-31
670673,Greater Sydney,Outer Ring,Blue Mountains,Townhouse,1 Bedroom,,,s,2023-03-31
670674,Greater Sydney,Outer Ring,Blue Mountains,Townhouse,Not Specified,,,,2023-03-31
670675,Greater Sydney,Outer Ring,Blue Mountains,Townhouse,2 Bedrooms,,,90,2023-03-31
670676,Greater Sydney,Outer Ring,Blue Mountains,Townhouse,3 Bedrooms,,,121,2023-03-31
670677,Greater Sydney,Outer Ring,Blue Mountains,Townhouse,4 or more Bedrooms,,,s,2023-03-31
670678,Greater Sydney,Outer Ring,Blue Mountains,Flat/Unit,Total,380.0,41,656,2023-03-31
670679,Greater Sydney,Outer Ring,Blue Mountains,Flat/Unit,Bedsitter,,,,2023-03-31
670680,Greater Sydney,Outer Ring,Blue Mountains,Flat/Unit,1 Bedroom,350.0,s,256,2023-03-31
670681,Greater Sydney,Outer Ring,Blue Mountains,Flat/Unit,Not Specified,,,38,2023-03-31
670682,Greater Sydney,Outer Ring,Blue Mountains,Flat/Unit,2 Bedrooms,400.0,s,289,2023-03-31
670683,Greater Sydney,Outer Ring,Blue Mountains,Flat/Unit,3 Bedrooms,,,57,2023-03-31
670684,Greater Sydney,Outer Ring,Blue Mountains,Flat/Unit,4 or more Bedrooms,,,,2023-03-31
670692,Greater Sydney,Outer Ring,Camden,House,Total,650.0,840,"7,621",2023-03-31
670693,Greater Sydney,Outer Ring,Camden,House,Bedsitter,,,,2023-03-31
