,greatersydney,rings,lga,dwellingtype,sales_price_median,sales_price_mean,sales_no,date
9200,Greater Sydney,Middle Ring,Cumberland,Non Strata,800.0,821.0,222.0,2018-12-31
9201,Greater Sydney,Middle Ring,Cumberland,Strata,550.0,549.0,190.0,2018-12-31
9203,Greater Sydney,Middle Ring,Georges River,Non Strata,1200.0,1313.0,191.0,2018-12-31
9204,Greater Sydney,Middle Ring,Georges River,Strata,690.0,714.0,155.0,2018-12-31
9206,Greater Sydney,Middle Ring,Hunters Hill,Non Strata,2670.0,2780.0,20.0,2018-12-31
9207,Greater Sydney,Middle Ring,Hunters Hill,Strata,1200.0,1063.0,20.0,2018-12-31
9209,Greater Sydney,Middle Ring,Ku-Ring-Gai,Non Strata,2050.0,2184.0,260.0,2018-12-31
9210,Greater Sydney,Middle Ring,Ku-Ring-Gai,Strata,910.0,990.0,141.0,2018-12-31
9212,Greater Sydney,Middle Ring,Parramatta,Non Strata,1125.0,1237.0,254.0,2018-12-31
9213,Greater Sydney,Middle Ring,Parramatta,Strata,657.0,657.0,357.0,2018-12-31
9215,Greater Sydney,Middle Ring,Ryde,Non Strata,1428.0,1480.0,146.0,2018-12-31
9216,Greater Sydney,Middle Ring,Ryde,Strata,736.0,829.0,246.0,2018-12-31
9218,Greater Sydney,Middle Ring,Strathfield,Non Strata,1625.0,1711.0,36.0,2018-12-31
9219,Greater Sydney,Middle Ring,Strathfield,Strata,638.0,637.0,64.0,2018-12-31
9221,Greater Sydney,Middle Ring,Willoughby,Non Strata,2260.0,2327.0,97.0,2018-12-31
9222,Greater Sydney,Middle Ring,Willoughby,Strata,977.0,1052.0,102.0,2018-12-31
9227,Greater Sydney,Outer Ring,Blacktown,Non Strata,719.0,729.0,655.0,2018-12-31
9228,Greater Sydney,Outer Ring,Blacktown,Strata,540.0,536.0,133.0,2018-12-31
9230,Greater Sydney,Outer Ring,Blue Mountains,Non Strata,635.0,660.0,235.0,2018-12-31
9231,Greater Sydney,Outer Ring,Blue Mountains,Strata,530.0,534.0,20.0,2018-12-31
9233,Greater Sydney,Outer Ring,Camden,Non Strata,720.0,740.0,285.0,2018-12-31
9234,Greater Sydney,Outer Ring,Camden,Strata,530.0,539.0,20.0,2018-12-31
9236,Greater Sydney,Outer Ring,Campbelltown,Non Strata,601.0,604.0,308.0,2018-12-31
9237,Greater Sydney,Outer Ring,Campbelltown,Strata,420.0,427.0,73.0,2018-12-31
9239,Greater Sydney,Outer Ring,Central Coast,Non Strata,640.0,696.0,982.0,2018-12-31
9240,Greater Sydney,Outer Ring,Central Coast,Strata,500.0,519.0,273.0,2018-12-31
9242,Greater Sydney,Outer Ring,Fairfield,Non Strata,730.0,754.0,217.0,2018-12-31
9243,Greater Sydney,Outer Ring,Fairfield,Strata,458.0,458.0,54.0,2018-12-31
9245,Greater Sydney,Outer Ring,Hawkesbury,Non Strata,770.0,907.0,133.0,2018-12-31
9246,Greater Sydney,Outer Ring,Hawkesbury,Strata,495.0,472.0,20.0,2018-12-31
9248,Greater Sydney,Outer Ring,Hornsby,Non Strata,1180.0,1212.0,261.0,2018-12-31
9249,Greater Sydney,Outer Ring,Hornsby,Strata,663.0,713.0,104.0,2018-12-31
9251,Greater Sydney,Outer Ring,Liverpool,Non Strata,750.0,793.0,281.0,2018-12-31
9252,Greater Sydney,Outer Ring,Liverpool,Strata,485.0,477.0,95.0,2018-12-31
9254,Greater Sydney,Outer Ring,Northern Beaches,Non Strata,1660.0,1837.0,483.0,2018-12-31
9255,Greater Sydney,Outer Ring,Northern Beaches,Strata,873.0,964.0,410.0,2018-12-31
9257,Greater Sydney,Outer Ring,Penrith,Non Strata,665.0,692.0,422.0,2018-12-31
9258,Greater Sydney,Outer Ring,Penrith,Strata,490.0,477.0,128.0,2018-12-31
9260,Greater Sydney,Outer Ring,Sutherland Shire,Non Strata,1105.0,1215.0,421.0,2018-12-31
9261,Greater Sydney,Outer Ring,Sutherland Shire,Strata,730.0,827.0,312.0,2018-12-31
9263,Greater Sydney,Outer Ring,The Hills Shire,Non Strata,1168.0,1285.0,321.0,2018-12-31
9264,Greater Sydney,Outer Ring,The Hills Shire,Strata,794.0,791.0,56.0,2018-12-31
9266,Greater Sydney,Outer Ring,Wollondilly,Non Strata,708.0,838.0,106.0,2018-12-31
9267,Greater Sydney,Outer Ring,Wollondilly,Strata,530.0,,5.0,2018-12-31
11932,Greater Sydney,Inner Ring,Inner West,Non Strata,1353.0,1465.0,244.0,2019-03-31
11933,Greater Sydney,Inner Ring,Inner West,Strata,699.0,749.0,187.0,2019-03-31
11935,Greater Sydney,Inner Ring,Lane Cove,Non Strata,2000.0,2205.0,38.0,2019-03-31
11936,Greater Sydney,Inner Ring,Lane Cove,Strata,777.0,853.0,86.0,2019-03-31
11938,Greater Sydney,Inner Ring,Mosman,Non Strata,3603.0,3991.0,20.0,2019-03-31
11939,Greater Sydney,Inner Ring,Mosman,Strata,963.0,1145.0,50.0,2019-03-31
11941,Greater Sydney,Inner Ring,North Sydney,Non Strata,2278.0,2343.0,44.0,2019-03-31
11942,Greater Sydney,Inner Ring,North Sydney,Strata,1043.0,1140.0,188.0,2019-03-31
11944,Greater Sydney,Inner Ring,Randwick,Non Strata,1960.0,2061.0,89.0,2019-03-31
11945,Greater Sydney,Inner Ring,Randwick,Strata,860.0,943.0,173.0,2019-03-31
