,lga,sales_price_median,sales_price_mean,sales_no,date,greatersydney_y,rings_y,dwellingtype_y,wrent_median,new_bonds_no,total_bonds_held,dwellingtype_g
83,Blacktown,590.0,572.0,190.0,2018-03-31,Greater Sydney,Outer Ring,Flat/Unit,370.0,375.0,3641.0,Strata
84,Blue Mountains,673.0,702.0,271.0,2018-03-31,Greater Sydney,Outer Ring,House,450.0,307.0,3333.0,Non Strata
85,Blue Mountains,520.0,503.0,20.0,2018-03-31,Greater Sydney,Outer Ring,Other,410.0,5.0,345.0,Strata
86,Blue Mountains,520.0,503.0,20.0,2018-03-31,Greater Sydney,Outer Ring,Townhouse,382.5,20.0,267.0,Strata
87,Blue Mountains,520.0,503.0,20.0,2018-03-31,Greater Sydney,Outer Ring,Flat/Unit,320.0,67.0,703.0,Strata
88,Camden,765.0,810.0,309.0,2018-03-31,Greater Sydney,Outer Ring,House,520.0,623.0,4537.0,Non Strata
89,Camden,556.0,573.0,20.0,2018-03-31,Greater Sydney,Outer Ring,Other,440.0,42.0,521.0,Strata
90,Camden,556.0,573.0,20.0,2018-03-31,Greater Sydney,Outer Ring,Townhouse,455.0,32.0,238.0,Strata
91,Camden,556.0,573.0,20.0,2018-03-31,Greater Sydney,Outer Ring,Flat/Unit,370.0,39.0,258.0,Strata
92,Campbelltown,640.0,652.0,410.0,2018-03-31,Greater Sydney,Outer Ring,House,440.0,650.0,7099.0,Non Strata
93,Campbelltown,468.0,471.0,102.0,2018-03-31,Greater Sydney,Outer Ring,Other,380.0,171.0,1751.0,Strata
94,Campbelltown,468.0,471.0,102.0,2018-03-31,Greater Sydney,Outer Ring,Townhouse,390.0,144.0,1755.0,Strata
95,Campbelltown,468.0,471.0,102.0,2018-03-31,Greater Sydney,Outer Ring,Flat/Unit,380.0,199.0,1613.0,Strata
96,Central Coast,670.0,720.0,1182.0,2018-03-31,Greater Sydney,Outer Ring,House,450.0,1638.0,16390.0,Non Strata
97,Central Coast,510.0,532.0,340.0,2018-03-31,Greater Sydney,Outer Ring,Other,330.0,121.0,3317.0,Strata
98,Central Coast,510.0,532.0,340.0,2018-03-31,Greater Sydney,Outer Ring,Townhouse,430.0,269.0,2870.0,Strata
99,Central Coast,510.0,532.0,340.0,2018-03-31,Greater Sydney,Outer Ring,Flat/Unit,360.0,653.0,6309.0,Strata
100,Fairfield,800.0,819.0,249.0,2018-03-31,Greater Sydney,Outer Ring,House,480.0,461.0,6446.0,Non Strata
101,Fairfield,485.0,513.0,59.0,2018-03-31,Greater Sydney,Outer Ring,Other,390.0,140.0,2613.0,Strata
102,Fairfield,485.0,513.0,59.0,2018-03-31,Greater Sydney,Outer Ring,Townhouse,465.0,104.0,1689.0,Strata
103,Fairfield,485.0,513.0,59.0,2018-03-31,Greater Sydney,Outer Ring,Flat/Unit,340.0,249.0,4437.0,Strata
104,Hawkesbury,778.0,933.0,168.0,2018-03-31,Greater Sydney,Outer Ring,House,460.0,242.0,2332.0,Non Strata
105,Hawkesbury,524.0,525.0,32.0,2018-03-31,Greater Sydney,Outer Ring,Other,394.5,20.0,509.0,Strata
106,Hawkesbury,524.0,525.0,32.0,2018-03-31,Greater Sydney,Outer Ring,Townhouse,410.0,49.0,542.0,Strata
107,Hawkesbury,524.0,525.0,32.0,2018-03-31,Greater Sydney,Outer Ring,Flat/Unit,345.0,58.0,587.0,Strata
108,Hornsby,1350.0,1377.0,222.0,2018-03-31,Greater Sydney,Outer Ring,House,700.0,335.0,3221.0,Non Strata
109,Hornsby,693.0,716.0,152.0,2018-03-31,Greater Sydney,Outer Ring,Other,472.5,84.0,1330.0,Strata
110,Hornsby,693.0,716.0,152.0,2018-03-31,Greater Sydney,Outer Ring,Townhouse,630.0,65.0,772.0,Strata
111,Hornsby,693.0,716.0,152.0,2018-03-31,Greater Sydney,Outer Ring,Flat/Unit,490.0,499.0,4216.0,Strata
